label,os,is_mobile,country,pageviews
0,iOS,true,Switzerland,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Switzerland,1
0,iOS,true,India,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United Kingdom,1
0,iOS,true,United Kingdom,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Canada,1
0,iOS,true,United States,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Puerto Rico,1
0,iOS,true,United States,1
0,iOS,true,Germany,1
0,iOS,true,Denmark,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United Kingdom,1
0,iOS,true,Germany,1
0,iOS,true,Germany,1
0,iOS,true,Germany,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Ireland,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Thailand,1
0,iOS,true,Vietnam,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,Ireland,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Japan,1
0,iOS,true,Estonia,1
0,iOS,true,United States,1
0,iOS,true,Norway,1
0,iOS,true,Japan,1
0,iOS,true,United States,1
0,iOS,true,United Kingdom,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Italy,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Italy,1
0,iOS,true,United States,1
0,iOS,true,Italy,1
0,iOS,true,Italy,1
0,iOS,true,Russia,1
0,iOS,true,Singapore,1
0,iOS,true,Slovakia,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Slovakia,1
0,iOS,true,United States,1
0,iOS,true,Mexico,1
0,iOS,true,Germany,1
0,iOS,true,Spain,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Philippines,2
0,iOS,true,United States,2
0,iOS,true,Japan,2
0,iOS,true,Netherlands,2
0,iOS,true,United States,2
0,iOS,true,United States,1
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,1
0,iOS,true,Ukraine,2
0,iOS,true,United States,2
0,iOS,true,United Kingdom,2
0,iOS,true,United Kingdom,2
0,iOS,true,United States,2
0,iOS,true,United States,1
0,iOS,true,United States,2
0,iOS,true,Canada,2
0,iOS,true,Israel,2
0,iOS,true,United States,2
0,iOS,true,Belgium,2
0,iOS,true,United Kingdom,2
0,iOS,true,United Kingdom,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,Japan,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,Mexico,3
0,iOS,true,United Kingdom,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,3
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,United States,4
